Date,Customer_ID,Gender,Age,Region,Product,Quantity,Sales,Profit
2024-02-14,CUST0001,Male,33,South,Router,7.0,30233.0,5198.0
2024-04-12,CUST0002,Male,57,West,Camera,12.0,540828.0,88532.0
2024-03-18,CUST0003,Female,42,South,Webcam,12.0,54132.0,9235.0
2024-12-12,CUST0004,Female,23,Central,Microphone,11.0,57563.0,11627.0
2024-08-05,CUST0005,Female,53,North,Tablet,8.0,174360.0,25860.0
2024-11-06,CUST0006,Female,51,South,Mouse,6.0,21132.0,3468.0
2024-10-31,CUST0007,Male,65,West,Microphone,1.0,5964.0,688.0
2024-08-30,CUST0008,Male,19,South,Keyboard,9.0,33336.0,4037.0
2024-11-12,CUST0009,Male,27,East,Webcam,2.0,11672.0,1763.0
2024-11-23,CUST0010,Female,30,North,Laptop,7.0,383950.0,44652.0
2024-01-29,CUST0011,Male,40,West,Mouse,8.0,6040.0,999.0
2024-03-04,CUST0012,Male,56,West,Monitor,12.0,240456.0,44773.0
2024-04-16,CUST0013,Male,44,South,Printer,2.0,28176.0,3818.0
2024-07-04,CUST0014,Male,34,North,Graphics Card,6.0,237936.0,38045.0
2024-06-21,CUST0015,Male,55,North,Keyboard,11.0,14256.0,2283.0
2024-07-08,CUST0016,Female,42,West,Mouse,7.0,9338.0,1311.0
2024-08-15,CUST0017,Female,64,West,Graphics Card,2.0,74484.0,
2024-04-21,CUST0018,Female,24,East,Projector,5.0,209980.0,37485.0
2024-05-11,CUST0019,Male,46,West,Projector,7.0,277991.0,42414.0
2024-03-06,CUST0020,Female,48,Central,Tablet,9.0,195300.0,40791.0
2024-12-13,CUST0021,Male,36,West,Camera,7.0,329770.0,44487.0
2024-04-11,CUST0022,Male,42,East,Smart Watch,10.0,132310.0,24580.0
2024-11-23,CUST0023,Female,30,South,Hard Drive,1.0,7732.0,1102.0
2024-12-02,CUST0024,Male,44,East,Camera,11.0,497266.0,94063.0
2024-06-07,CUST0025,Male,18,Central,Router,1.0,3960.0,634.0
2024-08-27,CUST0026,Male,34,West,Keyboard,9.0,37926.0,7459.0
2024-02-23,CUST0027,Female,30,North,Graphics Card,9.0,351576.0,61306.0
2024-07-08,CUST0028,Male,44,East,Speaker,2.0,17754.0,1843.0
2024-07-21,CUST0029,Female,30,North,Graphics Card,11.0,444224.0,82319.0
2024-12-21,CUST0030,Male,26,West,Router,3.0,13752.0,2135.0
2024-04-16,CUST0031,Male,41,East,Router,7.0,40607.0,8711.0
2024-10-20,CUST0032,Female,29,West,Camera,8.0,366760.0,73836.0
2024-01-08,CUST0033,Male,47,Central,UPS,11.0,90134.0,19617.0
2024-10-18,CUST0034,Female,59,North,Printer,6.0,100566.0,16019.0
2024-03-25,CUST0035,Female,44,East,Graphics Card,5.0,195470.0,19828.0
2024-09-18,CUST0036,Male,21,East,Monitor,10.0,202680.0,21422.0
2024-04-27,CUST0037,Female,21,West,Projector,9.0,374346.0,50558.0
2024-02-06,CUST0038,Female,60,East,Mouse,2.0,,406.0
2024-02-11,CUST0039,Female,59,Central,Graphics Card,4.0,158704.0,26516.0
2024-01-17,CUST0040,Male,52,North,Printer,12.0,168168.0,33466.0
2024-11-08,CUST0041,Male,57,Central,Scanner,11.0,154583.0,18548.0
2024-04-06,CUST0042,Female,58,West,Keyboard,6.0,24996.0,2658.0
2024-01-07,CUST0043,Female,59,Central,Speaker,3.0,28578.0,3238.0
2024-08-15,CUST0044,Male,33,Central,Projector,7.0,295785.0,53789.0
2024-05-09,CUST0045,Male,46,East,Smart Watch,2.0,28178.0,5581.0
2024-03-08,CUST0046,Male,37,South,SSD,10.0,56860.0,9673.0
2024-08-06,CUST0047,Female,25,West,Laptop,5.0,284080.0,47361.0
2024-01-18,CUST0048,Female,39,East,Tablet,1.0,21948.0,2626.0
2024-05-27,CUST0049,Male,62,North,Router,5.0,29995.0,3815.0
2024-07-27,CUST0050,Male,29,Central,Router,7.0,39186.0,7283.0
2024-08-10,CUST0051,Male,54,North,Smartphone,4.0,117960.0,20965.0
2024-11-18,CUST0052,Male,26,South,Laptop,10.0,573650.0,59341.0
2024-11-25,CUST0053,Female,27,North,Speaker,,10105.0,1319.0
2024-10-28,CUST0054,Female,22,South,Smartphone,9.0,271089.0,57588.0
2024-03-22,CUST0055,Male,41,Central,Projector,6.0,241680.0,27998.0
2024-04-13,CUST0056,Male,45,Central,Projector,12.0,490152.0,77520.0
2024-03-26,CUST0057,Male,29,East,Keyboard,3.0,8841.0,1667.0
2024-09-25,CUST0058,Male,33,South,Scanner,11.0,173569.0,27864.0
2024-06-14,CUST0059,Male,33,East,Projector,11.0,455257.0,68525.0
2024-02-01,CUST0060,Male,20,West,Power Bank,6.0,13980.0,1715.0
2024-12-09,CUST0061,Female,29,East,SSD,4.0,37156.0,3938.0
2024-02-28,CUST0062,Male,64,East,Camera,1.0,45864.0,7505.0
2024-04-11,CUST0063,Female,51,East,Keyboard,6.0,15564.0,1822.0
2024-11-07,CUST0064,Female,32,South,Microphone,1.0,8364.0,1798.0
2024-10-02,CUST0065,Female,42,South,Tablet,7.0,144011.0,20602.0
2024-11-13,CUST0066,Male,32,East,Monitor,2.0,33176.0,3433.0
2024-02-11,CUST0067,Male,60,West,Camera,2.0,92282.0,9236.0
2024-06-16,CUST0068,Female,53,East,Hard Drive,8.0,53880.0,8998.0
2024-05-16,CUST0069,Male,20,South,Hard Drive,2.0,12238.0,2003.0
2024-05-04,CUST0070,Female,57,Central,SSD,10.0,59190.0,7843.0
2024-02-09,CUST0071,Male,56,East,Mouse,8.0,19392.0,2974.0
2024-08-06,CUST0072,Female,63,West,Router,2.0,13042.0,
2024-04-16,CUST0073,Male,36,West,SSD,9.0,58167.0,10039.0
2024-02-13,CUST0074,Female,39,Central,Tablet,10.0,242890.0,32443.0
2024-08-04,CUST0075,Male,44,South,Laptop,1.0,55806.0,6140.0
2024-12-07,CUST0076,Female,31,South,Power Bank,10.0,5000.0,511.0
2024-12-19,CUST0077,Female,29,South,Printer,1.0,15260.0,3046.0
2024-07-16,CUST0078,Female,29,West,Speaker,3.0,28170.0,4221.0
2024-05-20,CUST0079,Female,34,South,Printer,2.0,29202.0,6244.0
2024-07-19,CUST0080,Male,34,West,Printer,1.0,16566.0,2859.0
2024-09-13,CUST0081,Female,46,East,Monitor,5.0,94740.0,14980.0
2024-09-18,CUST0082,Male,30,East,Camera,11.0,,
2024-08-10,CUST0083,Male,32,Central,Monitor,9.0,156969.0,27255.0
2024-01-06,CUST0084,Female,55,North,Monitor,10.0,165010.0,23189.0
2024-02-15,CUST0085,Male,18,South,Webcam,2.0,7486.0,1159.0
2024-03-29,CUST0086,Female,63,East,Projector,5.0,196425.0,22342.0
2024-04-21,CUST0087,Male,38,North,Graphics Card,11.0,430386.0,52849.0
2024-09-02,CUST0088,Female,59,East,Speaker,7.0,55097.0,8841.0
2024-12-22,CUST0089,Male,20,East,Graphics Card,10.0,379310.0,47864.0
2024-11-05,CUST0090,Male,58,Central,Graphics Card,11.0,442673.0,56567.0
2024-09-22,CUST0091,Female,53,South,Webcam,,47400.0,10203.0
2024-08-11,CUST0092,Female,27,South,Graphics Card,5.0,182920.0,18652.0
2024-10-10,CUST0093,Female,41,South,Smartphone,2.0,61372.0,8490.0
2024-05-31,CUST0094,Male,64,Central,SSD,12.0,112944.0,
2024-01-21,CUST0095,Male,58,South,Smartphone,11.0,354409.0,50035.0
2024-07-13,CUST0096,Female,52,Central,Keyboard,11.0,15158.0,2379.0
2024-04-14,CUST0097,Female,34,North,Hard Drive,10.0,76270.0,15248.0
2024-07-18,CUST0098,Male,18,East,Hard Drive,3.0,15774.0,2072.0
2024-03-07,CUST0099,Female,35,West,SSD,10.0,64700.0,11078.0
2024-10-07,CUST0100,Male,36,North,Monitor,11.0,221452.0,48230.0
2024-03-06,CUST0101,Female,51,Central,Scanner,9.0,122166.0,14304.0
2024-09-08,CUST0102,Male,40,North,Camera,5.0,226390.0,42814.0
2024-01-20,CUST0103,Female,33,Central,Projector,8.0,329336.0,35553.0
2024-11-25,CUST0104,Female,53,South,Monitor,8.0,158576.0,30928.0
2024-01-08,CUST0105,Male,18,South,Hard Drive,12.0,86316.0,
2024-04-20,CUST0106,Female,49,North,Microphone,4.0,28536.0,4650.0
2024-10-08,CUST0107,Female,29,South,Smartphone,10.0,294010.0,34892.0
2024-11-16,CUST0108,Male,37,North,Microphone,5.0,39585.0,6850.0
2024-05-25,CUST0109,Female,49,South,Smartphone,11.0,324720.0,54666.0
2024-07-09,CUST0110,Male,39,Central,Power Bank,6.0,18942.0,3919.0
2024-05-10,CUST0111,Female,29,Central,Graphics Card,4.0,156916.0,23504.0
2024-09-02,CUST0112,Female,56,East,UPS,,18186.0,3361.0
2024-04-28,CUST0113,Male,62,East,Laptop,9.0,487836.0,93879.0
2024-04-23,CUST0114,Male,28,Central,Keyboard,11.0,50512.0,10838.0
2024-07-10,CUST0115,Female,28,East,Speaker,5.0,39090.0,5754.0
2024-11-18,CUST0116,Female,35,West,Keyboard,1.0,1637.0,271.0
2024-01-25,CUST0117,Male,62,Central,SSD,12.0,97044.0,11769.0
2024-09-13,CUST0118,Male,47,South,Scanner,7.0,103404.0,18630.0
2024-06-17,CUST0119,Female,52,East,Printer,12.0,181500.0,
2024-05-05,CUST0120,Male,42,South,Mouse,12.0,6000.0,664.0
2024-02-14,CUST0121,Male,64,North,Webcam,4.0,13588.0,1490.0
2024-09-15,CUST0122,Female,46,East,UPS,7.0,58667.0,10999.0
2024-06-12,CUST0123,Female,56,West,Laptop,,168516.0,28098.0
2024-07-10,CUST0124,Male,48,Central,Camera,12.0,569220.0,68440.0
2024-09-06,CUST0125,Female,61,Central,Monitor,8.0,146544.0,22815.0
2024-01-18,CUST0126,Female,24,West,Smart Watch,10.0,117280.0,19267.0
2024-06-09,CUST0127,Male,42,West,Microphone,4.0,19984.0,2826.0
2024-10-03,CUST0128,Male,53,West,Smartphone,12.0,,40492.0
2024-05-09,CUST0129,Male,26,South,Laptop,2.0,,18435.0
2024-04-08,CUST0130,Male,30,North,Laptop,6.0,338328.0,73451.0
2024-05-15,CUST0131,Male,29,West,Projector,10.0,393460.0,49419.0
2024-01-09,CUST0132,Female,33,East,UPS,6.0,65364.0,9413.0
2024-05-24,CUST0133,Male,31,West,Microphone,2.0,10370.0,1760.0
2024-11-26,CUST0134,Female,39,East,Hard Drive,6.0,34572.0,6392.0
2024-11-05,CUST0135,Male,34,Central,UPS,11.0,104764.0,10659.0
2024-12-19,CUST0136,Male,45,East,Tablet,6.0,125652.0,27356.0
2024-06-12,CUST0137,Female,61,East,Laptop,3.0,165078.0,23618.0
2024-10-02,CUST0138,Male,60,East,Camera,7.0,309295.0,53311.0
